cnn_row,seq_id,fold,source,class_label,target_frame_path
0,4f66c35b23a3a33f89b2a653217e542e,train,training,right-turn,data/processed/waymo_e2e/training/4f66c35b23a3a33f89b2a653217e542e_129.npz
1,d891296adb8eb88ce3b0071c9dfbd8c5,train,val,straight,data/processed/waymo_e2e/val/d891296adb8eb88ce3b0071c9dfbd8c5_10.npz
2,d954a84a4889671abb251469b61044ec,train,training,left-turn,data/processed/waymo_e2e/training/d954a84a4889671abb251469b61044ec_103.npz
3,7ad4cf54d6970313d961a8fb8d73760b,train,training,right-turn,data/processed/waymo_e2e/training/7ad4cf54d6970313d961a8fb8d73760b_129.npz
4,ebf8c3832f8954140649da11def77c19,train,training,straight,data/processed/waymo_e2e/training/ebf8c3832f8954140649da11def77c19_31.npz
5,6274d4b56b21963559bd1f6516d59e58,train,training,left-turn,data/processed/waymo_e2e/training/6274d4b56b21963559bd1f6516d59e58_25.npz
6,b8f637b24e181d3022d6cdd8538d062f,train,training,right-turn,data/processed/waymo_e2e/training/b8f637b24e181d3022d6cdd8538d062f_120.npz
7,00a858a5e34819152ec72183524388c8,train,training,straight,data/processed/waymo_e2e/training/00a858a5e34819152ec72183524388c8_131.npz
8,12fa8358106a226910cc181bbdd6527e,train,training,right-turn,data/processed/waymo_e2e/training/12fa8358106a226910cc181bbdd6527e_31.npz
9,1377e90d8f93471565f05275c2977bce,train,training,left-turn,data/processed/waymo_e2e/training/1377e90d8f93471565f05275c2977bce_11.npz
10,422da3f820867f469c1118f718cbf9f7,train,training,right-turn,data/processed/waymo_e2e/training/422da3f820867f469c1118f718cbf9f7_49.npz
11,a17fb75c407a8a50a6ed9d12765cb252,train,training,left-turn,data/processed/waymo_e2e/training/a17fb75c407a8a50a6ed9d12765cb252_154.npz
12,32d77fcf792a205991979e7ee888df74,train,training,straight,data/processed/waymo_e2e/training/32d77fcf792a205991979e7ee888df74_30.npz
13,be0584b8ef935660d317de0383e341aa,train,val,straight,data/processed/waymo_e2e/val/be0584b8ef935660d317de0383e341aa_10.npz
14,b2ef3573139815a8d5b8c85719578970,train,val,straight,data/processed/waymo_e2e/val/b2ef3573139815a8d5b8c85719578970_10.npz
15,41d4846a852f0bda8aeffbc82ad6c6fc,train,training,right-turn,data/processed/waymo_e2e/training/41d4846a852f0bda8aeffbc82ad6c6fc_30.npz
