sequence_id,frame_id,npz_filename,filepath,day_night,first_frame_id,first_frame_brightness_score,scenario_cluster
0081c482170156ee7aedf36157d4ff21,9,0081c482170156ee7aedf36157d4ff21_9.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_9.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,10,0081c482170156ee7aedf36157d4ff21_10.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_10.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,11,0081c482170156ee7aedf36157d4ff21_11.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_11.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,12,0081c482170156ee7aedf36157d4ff21_12.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_12.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,13,0081c482170156ee7aedf36157d4ff21_13.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_13.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,14,0081c482170156ee7aedf36157d4ff21_14.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_14.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,15,0081c482170156ee7aedf36157d4ff21_15.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_15.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,16,0081c482170156ee7aedf36157d4ff21_16.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_16.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,17,0081c482170156ee7aedf36157d4ff21_17.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_17.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,18,0081c482170156ee7aedf36157d4ff21_18.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_18.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,19,0081c482170156ee7aedf36157d4ff21_19.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_19.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,20,0081c482170156ee7aedf36157d4ff21_20.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_20.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,21,0081c482170156ee7aedf36157d4ff21_21.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_21.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,22,0081c482170156ee7aedf36157d4ff21_22.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_22.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,23,0081c482170156ee7aedf36157d4ff21_23.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_23.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,24,0081c482170156ee7aedf36157d4ff21_24.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_24.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,25,0081c482170156ee7aedf36157d4ff21_25.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_25.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,26,0081c482170156ee7aedf36157d4ff21_26.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_26.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,27,0081c482170156ee7aedf36157d4ff21_27.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_27.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,28,0081c482170156ee7aedf36157d4ff21_28.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_28.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,29,0081c482170156ee7aedf36157d4ff21_29.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_29.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,30,0081c482170156ee7aedf36157d4ff21_30.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_30.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,31,0081c482170156ee7aedf36157d4ff21_31.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_31.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,32,0081c482170156ee7aedf36157d4ff21_32.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_32.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,33,0081c482170156ee7aedf36157d4ff21_33.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_33.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,34,0081c482170156ee7aedf36157d4ff21_34.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_34.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,35,0081c482170156ee7aedf36157d4ff21_35.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_35.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,36,0081c482170156ee7aedf36157d4ff21_36.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_36.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,37,0081c482170156ee7aedf36157d4ff21_37.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_37.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,38,0081c482170156ee7aedf36157d4ff21_38.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_38.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,39,0081c482170156ee7aedf36157d4ff21_39.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_39.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,40,0081c482170156ee7aedf36157d4ff21_40.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_40.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,41,0081c482170156ee7aedf36157d4ff21_41.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_41.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,42,0081c482170156ee7aedf36157d4ff21_42.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_42.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,43,0081c482170156ee7aedf36157d4ff21_43.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_43.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,44,0081c482170156ee7aedf36157d4ff21_44.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_44.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,45,0081c482170156ee7aedf36157d4ff21_45.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_45.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,46,0081c482170156ee7aedf36157d4ff21_46.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_46.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,47,0081c482170156ee7aedf36157d4ff21_47.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_47.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,48,0081c482170156ee7aedf36157d4ff21_48.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_48.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,49,0081c482170156ee7aedf36157d4ff21_49.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_49.npz,day,9,0.8614062,Intersections
0081c482170156ee7aedf36157d4ff21,50,0081c482170156ee7aedf36157d4ff21_50.npz,..\data\processed\waymo_e2e\val\0081c482170156ee7aedf36157d4ff21_50.npz,day,9,0.8614062,Intersections
