class,precision,recall,f1,support,feature_set,lighting
straight,0.6153846153846154,0.5147058823529411,0.5605605605605606,544,HOG,day
left-turn,0.32684824902723736,0.31343283582089554,0.32,268,HOG,day
right-turn,0.40615384615384614,0.44594594594594594,0.4251207729468599,296,HOG,day
lane-change-left,0.2268041237113402,0.3188405797101449,0.26506024096385544,138,HOG,day
lane-change-right,0.3793103448275862,0.41509433962264153,0.3963963963963964,159,HOG,day
straight,0.5539568345323741,0.38308457711442784,0.45294117647058824,201,HOG,night
left-turn,0.41732283464566927,0.4274193548387097,0.42231075697211157,124,HOG,night
right-turn,0.46195652173913043,0.49707602339181284,0.4788732394366197,171,HOG,night
lane-change-left,0.23255813953488372,0.3225806451612903,0.2702702702702703,62,HOG,night
lane-change-right,0.3058823529411765,0.4126984126984127,0.35135135135135137,63,HOG,night
straight,0.40218470705064546,0.7444852941176471,0.5222437137330754,544,HSV,day
left-turn,0.13580246913580246,0.041044776119402986,0.06303724928366762,268,HSV,day
right-turn,0.2446043165467626,0.11486486486486487,0.15632183908045977,296,HSV,day
lane-change-left,0.06896551724137931,0.043478260869565216,0.05333333333333334,138,HSV,day
lane-change-right,0.2087912087912088,0.11949685534591195,0.152,159,HSV,day
straight,0.3295774647887324,0.582089552238806,0.420863309352518,201,HSV,night
left-turn,0.20833333333333334,0.04032258064516129,0.06756756756756757,124,HSV,night
right-turn,0.3172043010752688,0.34502923976608185,0.33053221288515405,171,HSV,night
lane-change-left,0.11627906976744186,0.08064516129032258,0.09523809523809523,62,HSV,night
lane-change-right,0.3076923076923077,0.06349206349206349,0.10526315789473684,63,HSV,night
straight,0.46675531914893614,0.6452205882352942,0.5416666666666666,544,YOLO,day
left-turn,0.23423423423423423,0.09701492537313433,0.13720316622691292,268,YOLO,day
right-turn,0.30170316301703165,0.4189189189189189,0.3507779349363508,296,YOLO,day
lane-change-left,0.11627906976744186,0.036231884057971016,0.055248618784530384,138,YOLO,day
lane-change-right,0.17045454545454544,0.09433962264150944,0.1214574898785425,159,YOLO,day
straight,0.38207547169811323,0.40298507462686567,0.3922518159806295,201,YOLO,night
left-turn,0.11428571428571428,0.03225806451612903,0.050314465408805034,124,YOLO,night
right-turn,0.3221884498480243,0.6198830409356725,0.424,171,YOLO,night
lane-change-left,0.1875,0.04838709677419355,0.07692307692307693,62,YOLO,night
lane-change-right,0.06896551724137931,0.031746031746031744,0.043478260869565216,63,YOLO,night
straight,0.4243093922651934,0.7058823529411765,0.5300207039337475,544,Road Geometry,day
left-turn,0.2622107969151671,0.3805970149253731,0.3105022831050228,268,Road Geometry,day
right-turn,0.28,0.0472972972972973,0.08092485549132948,296,Road Geometry,day
lane-change-left,0.13636363636363635,0.043478260869565216,0.06593406593406594,138,Road Geometry,day
lane-change-right,0.23529411764705882,0.025157232704402517,0.045454545454545456,159,Road Geometry,day
straight,0.32696390658174096,0.7661691542288557,0.4583333333333333,201,Road Geometry,night
left-turn,0.26436781609195403,0.18548387096774194,0.21800947867298578,124,Road Geometry,night
right-turn,0.5,0.07017543859649122,0.12307692307692308,171,Road Geometry,night
lane-change-left,0.2,0.0967741935483871,0.13043478260869565,62,Road Geometry,night
lane-change-right,0.0,0.0,0.0,63,Road Geometry,night
straight,0.6072961373390557,0.5202205882352942,0.5603960396039604,544,All Combined,day
left-turn,0.34649122807017546,0.2947761194029851,0.3185483870967742,268,All Combined,day
right-turn,0.43109540636042404,0.41216216216216217,0.4214162348877375,296,All Combined,day
lane-change-left,0.23222748815165878,0.35507246376811596,0.2808022922636103,138,All Combined,day
lane-change-right,0.34101382488479265,0.46540880503144655,0.39361702127659576,159,All Combined,day
straight,0.538961038961039,0.4129353233830846,0.4676056338028169,201,All Combined,night
left-turn,0.4326923076923077,0.3629032258064516,0.39473684210526316,124,All Combined,night
right-turn,0.4911242603550296,0.4853801169590643,0.48823529411764705,171,All Combined,night
lane-change-left,0.15555555555555556,0.22580645161290322,0.18421052631578946,62,All Combined,night
lane-change-right,0.2980769230769231,0.49206349206349204,0.3712574850299401,63,All Combined,night
