feature_set,lighting,n_test_rows,accuracy,balanced_accuracy,macro_f1,error_rate
HOG,day,1405,0.4313167259786477,0.40160391669051376,0.39342759417353446,0.5686832740213523
HOG,night,621,0.42028985507246375,0.4085718026409307,0.3951493589001882,0.5797101449275363
HSV,day,1405,0.33807829181494664,0.2126740102634784,0.18938722708610722,0.6619217081850534
HSV,night,621,0.3059581320450886,0.22231571948648704,0.20389286858761432,0.6940418679549114
YOLO,day,1405,0.3708185053380783,0.2583451878453656,0.2412707752986007,0.6291814946619216
YOLO,night,621,0.31561996779388085,0.22705186171977848,0.19739352383641534,0.6843800322061191
Road Geometry,day,1405,0.36298932384341637,0.24048243174756295,0.20656729078374222,0.6370106761565837
Road Geometry,night,621,0.3140096618357488,0.2237205314682952,0.18597090353838758,0.6859903381642511
All Combined,day,1405,0.43202846975088965,0.40952802772000074,0.39495599502573564,0.5679715302491104
All Combined,night,621,0.41223832528180354,0.39581772196499915,0.3812091562742913,0.5877616747181964
